boxID,magnification,imageName,specimenNR,formation,colony.id,zooid.id,zh,oh,ow.m,ow.b,o.side,mpw.b,cw.m,cw.b,cw.d,c.side,zh.zw,oh.ow,area,ln.zh,ln.mpw.b,ln.cw.m,ln.cw.d,ln.ow.m,ln.oh,ln.o.side,ln.c.side,ln.area
1237_1361_480_553,x30,118_CC_2_10v_x30_BSE,118CC,Waipuru,118CC,1237_1361_480_553_118_CC_2_10v_x30_BSE.tif,708.8644883,0.099390447,415.5173182,352.3208584,253.2271918,143.1179281,419.6548406,223.0410309,454.1312888,349.4314795,1.560924133,0.000239197,118219.7111,6.563664377,4.963668962,6.039432565,6.118386339,6.029524294,-2.308699272,5.534287077,5.856307489,11.68030013
285_1109_437_678,x30,118_CC_2_10v_x30_BSE,118CC,Waipuru,118CC,285_1109_437_678_118_CC_2_10v_x30_BSE.tif,839.0500903,0.108568817,407.7109963,343.0597423,321.4555213,133.2552953,379.971771,211.6332613,436.8077504,388.0411727,1.920868138,0.000266289,134593.3096,6.732270407,4.892266802,5.940096963,6.079493168,6.010558581,-2.220371045,5.772859187,5.961111449,11.81001299
213_486_411_563,x30,118_CC_2_10v_x30_BSE,118CC,Waipuru,118CC,213_486_411_563_118_CC_2_10v_x30_BSE.tif,780.0412244,0.116356111,391.6283481,294.2341863,269.7719334,147.6874643,253.4225847,138.1612917,351.4580321,371.5822241,2.219443442,0.000297108,100678.3934,6.65934677,4.995098313,5.535058391,5.862090307,5.970313298,-2.15109987,5.597576911,5.91777017,11.51968649
1072_254_433_593,x30,118_CC_2_10v_x30_BSE,118CC,Waipuru,118CC,1072_254_433_593_118_CC_2_10v_x30_BSE.tif,787.0370317,0.113053054,387.8765437,303.0648342,275.3332979,168.0982856,310.2046896,182.1246992,364.2830378,388.2379366,2.160509686,0.000291467,105288.1186,6.668275302,5.124548842,5.737232369,5.897931142,5.960687103,-2.179898068,5.617982356,5.96161839,11.56445586
487_778_437_571,x30,118_CC_2_10v_x30_BSE,118CC,Waipuru,118CC,487_778_437_571_118_CC_2_10v_x30_BSE.tif,757.9288938,0.106751459,408.2449554,343.0200524,302.8812313,165.1484621,441.1993222,287.1334547,445.0002787,353.461117,1.70320993,0.000261489,123860.8326,6.630589574,5.10684484,6.089496751,6.098074909,6.011867375,-2.23725196,5.713340753,5.867773485,11.7269139
450_243_472_638,x30,388_CV_1_15v_x30_BSE,388CV,NKBS,388CV,450_243_472_638_388_CV_1_15v_x30_BSE.tif,786.6580849,0.10449659,464.4269171,377.0040252,354.3330586,154.7464185,436.3992346,276.7656844,472.2615446,319.6737715,1.665725473,0.000225001,136431.2449,6.6677937,5.041787768,6.0785575,6.157532952,6.140804209,-2.258600844,5.870237314,5.767301012,11.82357607
868_1026_349_643,x30,388_CV_1_15v_x30_BSE,388CV,NKBS,388CV,868_1026_349_643_388_CV_1_15v_x30_BSE.tif,797.0758243,0.128725103,364.8469697,283.8475702,330.5781402,107.2734189,279.9742155,151.1410632,329.0827905,310.8305818,2.422113362,0.000352819,96327.44842,6.680949811,4.675380892,5.634697511,5.796309362,5.899478005,-2.050076132,5.800843061,5.739248011,11.47550859
165_621_415_609,x30,388_CV_1_15v_x30_BSE,388CV,NKBS,388CV,165_621_415_609_388_CV_1_15v_x30_BSE.tif,806.6049813,0.106254064,425.8992471,370.6999391,362.2011198,153.5008299,383.4388427,237.2682526,450.4950495,311.2769835,1.790485783,0.000249482,133443.1149,6.692834058,5.033705973,5.949180137,6.110347088,6.054202809,-2.241922224,5.892199637,5.740683138,11.80143056
981_461_443_600,x30,388_CV_1_15v_x30_BSE,388CV,NKBS,388CV,981_461_443_600_388_CV_1_15v_x30_BSE.tif,759.9220424,0.12415904,376.772823,291.1080047,332.1360032,115.946846,291.1080047,154.9837935,323.3186639,288.5840529,2.350380993,0.000329533,90228.77594,6.633215852,4.753131862,5.673694349,5.778638413,5.931642414,-2.086191954,5.805544533,5.664986388,11.41010368
628_1304_375_658,x30,388_CV_1_15v_x30_BSE,388CV,NKBS,388CV,628_1304_375_658_388_CV_1_15v_x30_BSE.tif,1040.86701,0.101743148,514.536694,390.0153758,459.144419,199.3901976,469.3552031,253.1430586,495.8766467,435.1803464,2.099044222,0.000197737,189545.7923,6.947809308,5.295263697,6.151359844,6.2063272,6.243266872,-2.285303794,6.129364799,6.075760535,12.15238592
