date,imager,File_name,specimen_no,image_no,mag,use,binomial,notes,collector,taxonID,stationID,lat,long,dateCollected,country,depth,place
Jun 10 2024,DPG,Steginoporella magnifica NIWA 93133 KWB-Feb B7,NIWA 93133 B,7,x60,N,Steginoporella magnifica,need to rotate,DPG,DPG,KWB_Feb,-35.26265,174.1818,Feb 2 2010,New Zealand,5.4,Kahuwhera
Jun 10 2024,DPG,Steginoporella magnifica NIWA 93133 KWB-Feb B8,NIWA 93133 B,8,x30,N,Steginoporella magnifica,,DPG,DPG,KWB_Feb,-35.26265,174.1818,Feb 2 2010,New Zealand,5.4,Kahuwhera
Jun 10 2024,DPG,Steginoporella magnifica NIWA 93133 KWB-Feb B9,NIWA 93133 B,9,x30,Y,Steginoporella magnifica,,DPG,DPG,KWB_Feb,-35.26265,174.1818,Feb 2 2010,New Zealand,5.4,Kahuwhera
Jun 10 2024,DPG,Steginoporella magnifica NIWA 93133 KWB-Feb B10,NIWA 93133 B,10,x30,N,Steginoporella magnifica,,DPG,DPG,KWB_Feb,-35.26265,174.1818,Feb 2 2010,New Zealand,5.4,Kahuwhera
Jun 10 2024,DPG,Steginoporella magnifica NIWA 93133 KWB-Feb C1,NIWA 93133 C,1,x50,Y,Steginoporella magnifica,,DPG,DPG,KWB_Feb,-35.26265,174.1818,Feb 2 2010,New Zealand,5.4,Kahuwhera
Jun 10 2024,DPG,Steginoporella magnifica NIWA 93133 KWB-Feb C2,NIWA 93133 C,2,x60,Y,Steginoporella magnifica,,DPG,DPG,KWB_Feb,-35.26265,174.1818,Feb 2 2010,New Zealand,5.4,Kahuwhera
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 1,NIWA 98542,1,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 2,NIWA 98542,2,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 3,NIWA 98542,3,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 4,NIWA 98542,4,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 5,NIWA 98542,5,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
