"","c.mean","c.min","c.max","e.mean","e.min","e.max","observed_e_glob","observed_c_glob"
"NKLS","0.00227685938750617","0.00113284619277872","0.0204529711793519","0.00647283559929602","0.00114346247265425","0.0238969132756479","0.0127722974301195","0.00995058291214727"
"NKBS","","","","","","","0.0113420560330976","0.00499287472962101"
"Tewkesbury","","","","","","","0.0226978372962048","0.013864609433294"
"Upper Kai-Iwi","","","","","","","0.0135185629238724","0.00509292024582367"
"Tainui","","","","","","","0.013065686640651","0.00565161956070062"
"SHCSBSB","","","","","","","0.00711636079102587","0.00351348650653302"
"modern","","","","","","","",""
