"angle.diff_Gs.time","angle_diff_Gs"
"NKLS to NKBS",7.79297625919993
"NKBS to Tewkesbury",6.53848659416153
"Tewkesbury to Waipuru",82.3876870480737
"Waipuru to Upper Kai-Iwi",87.2363364402299
"Upper Kai-Iwi to Tainui",31.8925729069238
"Tainui to SHCSBSB",28.97956657
"SHCSBSB to modern",64.5732991245212
