"formation","num.col","num.zooid","avg.zooid","avg.zh","avg.mpw.b","avg.cw.m","avg.cw.d","avg.ow.m","avg.oh","avg.o.side","avg.c.side"
"NKLS",66,615,9.31818181818182,6.68195433672898,5.15882531554947,5.96331206901304,6.06918718488348,6.06695800004494,-2.24618110770055,5.74316997578448,5.85953391069067
"NKBS",263,2934,11.1558935361217,6.65028105161106,5.15742755178132,5.96952375034152,6.06514206662507,6.06001435344264,-2.24889690062515,5.71826068649599,5.81857529683428
"Tewkesbury",107,1050,9.81308411214953,6.65074548056476,5.15128728613783,5.92127553972356,6.03808322259054,6.05757163426827,-2.24013645706396,5.7121980402259,5.81829848558877
"Waipuru",15,156,10.4,6.68850554344476,5.21021801255922,5.96186240102554,6.03585116253704,6.02701509669043,-2.21266979843603,5.72767411853035,5.8868469750375
"Upper Kai-Iwi",21,170,8.0952380952381,6.79452999242019,5.38983127251823,6.1909023042245,6.2493857181845,6.18935102557159,-2.33100724891805,5.80058451144948,6.04115046063852
"Tainui",19,155,8.1578947368421,6.84457819115771,5.48626524809771,6.22618450686207,6.28186396329543,6.22516744785204,-2.34940000421833,5.85807213724943,6.07650922003067
"SHCSBSB",50,400,8,6.82691487411995,5.38380636158444,6.22221149568677,6.28647420609573,6.21086674298932,-2.36012477091082,5.81928809656074,6.09211320500997
