"formation","correlation"
"NKLS","0.95681468562017"
"NKBS","0.960505749488295"
"Tewkesbury","0.977945307334555"
"Waipuru","0.936435889641642"
"Upper Kai-Iwi","0.968320841078864"
"Tainui","0.974852309547988"
"SHCSBSB","0.950394525086247"
