"formation","corr.diff_Glob_max_to_P","angle_diff_Glob_max_to_P"
"NKLS","0.0449631610573779","87.4229318028823"
"NKBS","0.680153894860991","47.1443298985786"
"Tewkesbury","-0.925752371603729","157.782081014484"
"Upper Kai-Iwi","-0.633696453785218","129.323369795751"
"Tainui","0.626243566417823","51.2264797591701"
"SHCSBSB","-0.189548396740216","100.926430329034"
"modern","",""
