"formation","correlation"
"NKLS","0.958722129054388"
"NKBS","0.964096003169146"
"Tewkesbury","0.97975033363856"
"Waipuru","0.903905880516519"
"Upper Kai-Iwi","0.972253122280773"
"Tainui","0.962387743309258"
"SHCSBSB","0.947574292940938"
"modern","0.914366941600466"
