"formation","angle_diff_Gmax_to_P"
"NKLS",83.1167467028205
"NKBS",21.074718541549
"Tewkesbury",56.515261771582
"Waipuru",25.6496557252877
"Upper Kai-Iwi",25.806122051362
"Tainui",34.3449898955793
"SHCSBSB",12.4395337705021
