"","c.mean","c.min","c.max","e.mean","e.min","e.max","observed_e","observed_c"
"NKLS",0.00229843212255831,0.00118978465244499,0.0167953424520841,0.00792346414140781,0.00124152470039258,0.0270935602240751,"0.020710623061339","0.0134478130406568"
"NKBS",0.00262762322544719,0.00137435554055852,0.0170549272424669,0.00698945953433928,0.00141716810783758,0.0242063847713973,"0.0151029540514633","0.00529463715500323"
"Tewkesbury",0.00256456109948932,0.00128999830080655,0.0148360038708482,0.00725739776315274,0.00131876216566607,0.0246052965786232,"0.0244059918274297","0.0143846327647467"
"Upper Kai-Iwi",0.00440442445042303,0.0027248200970989,0.0211494403341149,0.00974067898426461,0.00274284214973514,0.0347381448067758,"0.0309578505325968","0.0162505077182075"
"Tainui",0.00309617806849944,0.00162267801895739,0.0164459440523687,0.00756375719964101,0.00165903451346161,0.0260211259016958,"0.021422485619674","0.0102499215577575"
"SHCSBSB",0.00213538919929187,0.0011589975174298,0.0110815474946864,0.00539311981564476,0.00118524463379067,0.0192210200192133,"0.00477222636485484","0.00294428885340234"
"modern",0.00530909913578601,0.00320903467981722,0.0274938260140724,0.0101867427640618,0.00321801764349401,0.0372066898257538,"",""
