"formation","correlation"
"NKLS","0.954291962119229"
"NKBS","0.964127400638535"
"Tewkesbury","0.962198623448719"
"Waipuru","0.913501200943203"
"Upper Kai-Iwi","0.966409872603189"
"Tainui","0.940009015591469"
"SHCSBSB","0.954640516960851"
"modern","0.910233499888508"
