"formation","angle_diff_Pmax_to_P","corr.diff_Pmax_to_P"
"NKLS",76.671540270347,-0.230533102292517
"NKBS",49.2356719289529,0.652949177852566
"Tewkesbury",30.181661377693,-0.864435758942999
"Upper Kai-Iwi",45.600338707386,-0.699659116853678
"Tainui",54.3150267444697,0.583328209255781
"SHCSBSB",80.4902293521833,-0.165215794718466
"modern",NA,NA
