"","c.mean","c.min","c.max","e.mean","e.min","e.max","observed_e","observed_c"
"NKLS",0.00209214368579674,0.00102799049680615,0.0117647227717854,0.00673560591804613,0.00107689643874118,0.0210342587733466,"0.0178760759472625","0.0127427783685874"
"NKBS",0.00182724619557833,0.000857089879196887,0.0126173975520345,0.0068645212815116,0.00087231447414214,0.0261051224364764,"0.0127453354749159","0.00390789741165094"
"Tewkesbury",0.00336383456833267,0.00191479240970815,0.0179927628662688,0.00758668053553087,0.00192531857972232,0.0267244763059596,"0.0252901735114633","0.0168138185882584"
"Upper Kai-Iwi",0.00341590266243276,0.00194742189235188,0.0211571351807581,0.00927047697516932,0.00199118884279012,0.0335487140171286,"0.0287257329559626","0.0111357742867936"
"Tainui",0.00349026988677774,0.00196393739992961,0.0195949461166748,0.00771541998513306,0.00202543418797169,0.0288527016680671,"0.0203145345765148","0.00864186938076442"
"SHCSBSB",0.00152011665920615,0.000719922732776299,0.00898577671512557,0.00539382109836371,0.000760927521016913,0.0200134944771697,"0.00411139123797308","0.00193496202676206"
"modern",0.00307009941324177,0.00188005253291519,0.0136279356215308,0.00590177246162339,0.00189069321872805,0.0190137522604776,"",""
