"","p_c.mean","p_c.min","p_c.max","p_e.mean","p_e.min","p_e.max","p_observed_e","p_observed_c"
"NKLS",0.00959050117565894,0.00558522614125735,0.0502569348255251,0.0200486995485989,0.00563331920440529,0.0667722575886366,"0.0341942435595239","0.0260712836636726"
"NKBS",0.0104764849497061,0.00623197016845981,0.0528033264819806,0.0217700902064317,0.00623853306260842,0.0758573085730807,"0.0420485816104523","0.0178442299955182"
"Tewkesbury",0.0109248601912046,0.0064764015601518,0.055110800074238,0.0236516409420258,0.00657948299816808,0.081319478733842,"0.0732721393274808","0.0509328241113233"
"Upper Kai-Iwi",0.00897689639314308,0.00538034453324257,0.0397133606726742,0.0184991680308834,0.00542773176478558,0.0602773812394512,"0.047576467600182","0.0263152579152952"
"Tainui",0.0087128916304202,0.00512222622648531,0.0396834606178206,0.018036916877729,0.00514121836229266,0.0583641743293069,"0.0381154543971449","0.0188184681403231"
"SHCSBSB",0.00884111041008229,0.00546665133413441,0.0373425372179089,0.0164708941489741,0.00549923953629346,0.0498428060359262,"0.0120652001195758","0.0099553685887592"
"modern",0.00999420260105414,0.00609108798824825,0.0541452054979708,0.0202671222882102,0.00611316068907411,0.0725233279299374,"",""
