"colony.id","n.zooid","n.sm.zooid","prop.sm"
"332CV",8,0,0
"333CV",8,0,0
"334CV",9,0,0
"335CV",14,0,0
"336CV",11,0,0
"338CV",9,0,0
"339F",8,0,0
"341CV",13,0,0
"342CV",20,0,0
"343CV",9,0,0
"344CV",10,0,0
"345CV",9,0,0
"346CV",6,1,0.166666666666667
"349CV",11,0,0
"350F",9,0,0
"351CV",5,0,0
"352CV",18,0,0
"353F",5,0,0
"354CV",14,0,0
"355CV",12,0,0
"356F",24,0,0
"357CC",7,0,0
"357CV",12,0,0
"360F",12,0,0
"361S",6,0,0
"364F",10,0,0
"365F",20,0,0
"366CV",11,0,0
"370CV",7,0,0
"371CC",19,0,0
"373CC",15,0,0
"374CV",5,0,0
"375CV",13,0,0
"377CV",9,0,0
"378CV",11,0,0
"379CV",21,0,0
"380CC",12,0,0
"381F",5,0,0
"382CV",16,0,0
"383CV",9,0,0
"384CC",10,0,0
"386CV",12,0,0
"388CV",11,0,0
"389CV",8,0,0
"390CC",5,0,0
"391CV",9,0,0
"392CV",14,0,0
"394CV",18,0,0
"396CV",9,0,0
"398CV",20,0,0
"399F",6,0,0
"400CV",6,0,0
"404CV",7,0,0
"407CC",6,0,0
"410CC",5,0,0
"411CV",5,0,0
"415CC",9,0,0
"416CV",5,0,0
"418CV",5,0,0
"424CC",5,1,0.2
"426CV",8,0,0
"428CC",11,0,0
"429CC",11,0,0
"430F",12,0,0
"431CC",16,0,0
"433CC",22,0,0
"434CV",8,0,0
"436CV",7,0,0
"440CV",9,0,0
"441CV",15,0,0
"442CV",12,0,0
"443CV",7,0,0
"444CC",9,0,0
"445CV",7,0,0
"447CV",8,0,0
"448CV",7,0,0
"449F",5,0,0
"450CV",8,0,0
"451CV",19,0,0
"452CC",11,0,0
"454CV",7,0,0
"456CV",12,0,0
"457CC",17,0,0
"458CV",10,0,0
"459CC",16,0,0
"462CV",7,0,0
"463CC",9,0,0
"464CC",7,0,0
"465CV",7,0,0
"479CC",5,0,0
"484CC",5,0,0
"486CC",6,0,0
"488CC",5,0,0
"493CV",5,0,0
"500CV",7,0,0
"513CC",6,0,0
"514CV",6,0,0
"517CV",6,0,0
"524CC",6,0,0
"525CV",10,0,0
"527CV",9,0,0
"530CC",20,0,0
"531CV",6,0,0
"533CC",11,0,0
"535CV",12,0,0
"539CV",11,0,0
"541CV",10,0,0
"543CC",9,0,0
"545CV",19,0,0
"548CV",12,0,0
"556CV",13,0,0
"567CV",9,0,0
"568CV",8,0,0
"571CV",6,0,0
"572CC",5,0,0
"577CC",24,0,0
"577CV",7,0,0
"600CV",11,0,0
"601iCV",12,0,0
"602CV",9,0,0
"602iCC",7,0,0
"603iCV",13,0,0
"604CC",17,0,0
"604iCV",11,0,0
"605CV",12,0,0
"606CC",13,0,0
"607CV",17,0,0
"608CV",5,1,0.2
"608iCC",8,0,0
"609CV",6,0,0
"609iCV",10,0,0
"610CV",8,0,0
"611iCV",7,0,0
"612CV",12,0,0
"614CC",12,0,0
"614iCV",6,1,0.166666666666667
"615CV",6,0,0
"615iCV",6,0,0
"616CV",12,0,0
"616iCC",5,0,0
"617CV",15,1,0.0666666666666667
"617iCV",5,0,0
"618CV",12,2,0.166666666666667
"618iCV",6,1,0.166666666666667
"619CV",8,0,0
"620CV",11,0,0
"622CV",17,0,0
"623CC",17,0,0
"624CV",15,0,0
"624iCC",6,0,0
"625CC",15,0,0
"626CC",8,1,0.125
"626iCC",7,0,0
"627CV",9,0,0
"628CV",11,0,0
"630CV",17,0,0
