"diff.form","diff.ln.zh","diff.ln.mpw.b","diff.ln.cw.m","diff.ln.cw.d","diff.ln.ow.m","diff.ln.oh","diff.ln.o.side","diff.ln.c.side","diff.zh","diff.mpw.b","diff.cw.m","diff.cw.d","diff.ow.m","diff.oh","diff.o.side","diff.c.side","diff.zh.per","diff.mpw.b.per","diff.cw.m.per","diff.cw.d.per","diff.ow.m.per","diff.oh.per","diff.o.side.per","diff.c.side.per"
"NKLS to NKBS","-0.0250710207111577","0.00806207678379867","0.00892855057959885","0.000149824436703305","-0.00145093891808479","-0.007273937013486","-0.016726257631535","-0.0358316815153197","-19.679790493764","1.38858511788769","3.4688167948824","0.0644528037211671","-0.621353434651382","-0.000362488657720095","-5.14187119453578","-12.3214837562578","2.4759352715574","0.809466283638692","0.896852898180564","0.0149835660944746","0.144988681512005","0.7247545961367","1.65871504450765","3.51973260589834"
"NKBS to Tewkesbury","0.00266288111572877","0.00643779373284126","-0.0367337107573347","-0.0243531550236868","-0.00480846737418528","0.0101596947394285","-0.00889491928349084","0.00863156738494819","2.06691740070573","1.11689106018326","-14.0750635037441","-10.3506932704432","-2.05275639930716","0.000507029338512655","-2.69958635355857","2.92790627518212","0.26664297327964","0.645856086783999","3.60672138925385","2.40590095717811","0.479692520240382","1.02114796624525","0.885547652232107","0.866892677537896"
"Tewkesbury to Upper Kai-Iwi","0.168588547277686","0.257769462396802","0.283783797208352","0.225821418704747","0.148758968553031","-0.0992740118662567","0.0980339346110144","0.258774901696688","142.725065883677","51.1773799919616","123.438690175123","106.374928671576","68.3081153583735","-0.00474038408285722","31.1214914910129","100.61575092794","18.3633029687345","29.4040459248116","32.8145750890312","25.335182010006","16.039326423165","9.45054422266163","10.3000214356654","29.5342192678799"
"Upper Kai-Iwi to Tainui","0.0218174739548642","0.06460857960802","0.0156444093538566","0.0242594705699375","0.0370552662296522","-0.0166533852992763","0.0648232803455153","-0.0207362257180979","20.2916429730401","15.0319081272203","7.87754689668975","12.9225462363239","18.6557455520922","-0.000750125395934102","22.3193276468386","-9.05648491687828","2.20572153826711","6.67413983195741","1.57674237847197","2.45561255663294","3.77503718037263","1.65154842459462","6.69704530727425","2.05227085828445"
"Tainui to SHCSBSB","-0.0219206891301411","-0.0999324679364744","-0.0152397957079424","-0.0117526275005773","-0.0305561837517878","-0.00403881465257783","-0.0569137577208689","0.0204301328969709","-20.3865913772828","-22.8488954671971","-7.67535737438664","-6.2995484969839","-15.4335236373159","-0.000180047578376107","-19.6728586761327","8.92142960553804","2.16821767880655","9.51014743627072","1.51242576912164","1.1683835134745","3.00940624180819","0.403066960980787","5.53244631751617","2.0640256574091"
"SHCSBSB to modern","-0.046160993228856","0.107363144336967","-0.011749164337246","-0.0134096391644505","0.0183007630213652","0.0216672801839008","0.0292732407233203","-0.106427703288892","-41.4965196164337","24.640824720967","-5.83800087966313","-7.0978755710463","9.18677563874655","0.000974482251157725","9.97874320641353","-44.5390767608307","4.51117807223554","11.333848364358","1.16804124285165","1.33201304928779","1.84692482181264","2.19037202826448","2.97059136281031","10.0959956549974"
