"formation","correlation"
"NKLS","0.952846856166831"
"NKBS","0.962267590756693"
"Tewkesbury","0.960106792557818"
"Upper Kai-Iwi","0.965728355954905"
"Tainui","0.939622198037127"
"SHCSBSB","0.953794274663041"
"modern","0.909968378293197"
