"formation","num.col","num.zooid","avg.zooid","min.zh","max.zh","avg.zh","sd.zh","min.mpw.b","max.mpw.b","avg.mpw.b","sd.mpw.b","min.cw.m","max.cw.m","avg.cw.m","sd.cw.m","min.cw.d","max.cw.d","avg.cw.d","sd.cw.d","min.ow.m","max.ow.m","avg.ow.m","sd.ow.m","min.oh","max.oh","avg.oh","sd.oh","min.o.side","max.o.side","avg.o.side","sd.o.side","min.c.side","max.c.side","avg.c.side","sd.c.side"
"NKBS",263,2934,12,6.20254218708289,7.30992982710083,6.6497895883954,0.117488390588489,4.51477671709798,5.77301941927476,5.15343726786251,0.161369179146177,5.31388519415848,6.63905929378724,5.9677418054593,0.182892747801717,5.41377341532295,6.6897483152694,6.06469729879921,0.142686141172282,5.52839987758516,6.66882231271933,6.0589972869909,0.10599049565125,-2.66133867985138,-1.77136280438353,-2.24910850251183,0.0979405542299405,5.10024117410869,6.45857667402764,5.71790514606314,0.127645341872435,5.15196391405097,6.43947057227977,5.81624698682297,0.161667006112716
"NKLS",66,615,10,6.11023973580741,7.43916871414864,6.68135601964913,0.121161419188613,4.67526256280846,5.58042443990674,5.14266966626627,0.159701587859088,5.24197423995332,6.45456032781029,5.95825698510002,0.173246666327151,5.57206846081024,6.40916863694669,6.06461818565558,0.132917906378716,5.73782627676971,6.44027725606928,6.06106722879952,0.0952661681687614,-2.56893092585297,-1.89921755126616,-2.24299665921486,0.0909870707890322,5.29625321839805,6.5008548954145,5.7395475288134,0.126149462141914,5.26312782432746,6.61390497771204,5.86080883279098,0.1617712338237
"SHCSBSB",50,400,8,6.03663382645511,7.19584232536242,6.83276737382236,0.105986168215115,4.80576147926749,5.72970528331556,5.36974405568689,0.145074783715017,5.62880943768874,6.58790821761037,6.21395993036114,0.161685911218608,5.69992145630011,6.54368863913997,6.28026906132463,0.11686214422644,5.79630936201369,6.48022230950428,6.20899161427856,0.0865778126336941,-2.55403146731757,-1.92470615151017,-2.35719330664413,0.077037215416259,5.16375213424945,6.28825739168622,5.8201742045233,0.108535281236516,5.29805740972061,6.51374119508535,6.09680883367024,0.137316138891971
"Tainui",19,155,9,6.38416276425172,7.09273339521437,6.84808344568761,0.105308279815719,4.80063040986555,5.87198902760868,5.48709607096007,0.14875864867848,5.79919265946086,6.60121686703569,6.23320504050721,0.145504599608377,5.83665362271949,6.60210084072664,6.28949317395016,0.112671642318818,5.8514852670559,6.58892164522392,6.23403753783866,0.0901162776014361,-2.55882477568396,-2.13328904817308,-2.35352248657241,0.0783705811854785,5.57838996307726,6.12693969924133,5.86866200890413,0.093687246850783,5.51478180988023,6.47069480630614,6.07386832747913,0.159742156781781
"Tewkesbury",107,1050,10,5.8008150245433,7.41958371958845,6.65211656470588,0.126894147921621,4.24305961455589,5.70121563019823,5.15087174111326,0.158736649636004,5.23495321532366,6.51480560940289,5.92336272049559,0.192082181566119,5.28537197206209,6.60825519425164,6.03906677113251,0.152286000943052,5.28183145178233,6.66040628668906,6.05651059802195,0.115581435822563,-2.66036243341374,-1.58207887723199,-2.24093914499636,0.105713227027074,4.86574133423603,6.5292357347868,5.70792429137082,0.127007470467626,5.19289530672752,6.52774257219737,5.82456883065088,0.173890104716643
"Upper Kai-Iwi",21,170,9,6.33003712674262,7.21680126811755,6.77728617678999,0.131243798132206,4.76395175930668,5.87720283918981,5.35759923049779,0.196596343962869,5.65177217463573,6.54113567309234,6.16428757349096,0.199431773031164,5.76553480581843,6.58109902666477,6.22577417171045,0.161066251936842,5.74305603821947,6.55842929799086,6.17017754394726,0.117996725027742,-2.55165607279335,-1.99758469630424,-2.31532486374993,0.106449821957923,5.53167309247253,6.26102387117981,5.79639520278676,0.106938451711354,5.2589578603683,6.48921674994764,6.01053500697989,0.201275712306981
"Waipuru",15,156,11,6.30008271840564,7.21597944610262,6.67992623490275,0.114239278313825,4.65988043168626,5.53150541111716,5.19959780464498,0.151748205606066,5.49377759042549,6.36173050456559,5.96307813168111,0.174894398588296,5.64587912565108,6.28813480740044,6.03882307366087,0.123202862756184,5.71572243208303,6.21855721467374,6.02624846970463,0.0792204330069255,-2.40298690685625,-1.9066134397397,-2.21768669895951,0.080121925252859,5.35937696874878,6.44445756354318,5.71096437914472,0.129846637768444,5.40379250359115,6.32799867776446,5.88768352605674,0.158485468164373
