"","c.mean","c.min","c.max","e.mean","e.min","e.max","observed_e_glob.p","observed_c_glob.p"
"NKLS","0.0107313936777318","0.00627426537362631","0.0559122179099541","0.0272316851023083","0.00640840966958708","0.105486681436739","0.0491883747435555","0.0294416025914413"
"NKBS","","","","","","","0.0494367163680083","0.0185227915359446"
"Tewkesbury","","","","","","","0.104955461286989","0.0635298451284356"
"Upper Kai-Iwi","","","","","","","0.0760360539300359","0.0299668718430536"
"Tainui","","","","","","","0.0628508448250109","0.0226724609048733"
"SHCSBSB","","","","","","","0.0154440876801307","0.0125874386681035"
"modern","","","","","","","",""
