"formation","angle_diff_Pmax_to_z","corr.diff_Pmax_to_z"
"NKLS",71.803498153156,-0.312276918060719
"NKBS",44.5116877501793,0.713107456028835
"Tewkesbury",33.291867746969,-0.835885278278283
"Upper Kai-Iwi",50.255634056338,-0.639363396493487
"Tainui",53.6849579159474,0.592224741884299
"SHCSBSB",77.49535006528,-0.216518846158956
"modern",NA,NA
