"form","col.samp","zoo.samp"
"NKLS","66","615"
"NKBS","269","3012"
"Tewkesbury","107","1050"
"Waipuru","11","111"
"Upper Kai-Iwi","18","130"
"Tainui","19","155"
"SHCSBSB","50","400"
"modern","17","214"
