"form","col.samp","zoo.samp"
"NKLS","66","615"
"NKBS","269","3011"
"Tewkesbury","118","1161"
"Upper Kai-Iwi","18","130"
"Tainui","19","155"
"SHCSBSB","50","400"
"modern","17","214"
