"formation","correlation"
"NKLS","0.955416173641186"
"NKBS","0.964497413510824"
"Tewkesbury","0.967196417782719"
"Upper Kai-Iwi","0.970124842089629"
"Tainui","0.961824882839453"
"SHCSBSB","0.972076434760827"
"modern","0.916228613777506"
