"","p_c.mean","p_c.min","p_c.max","p_e.mean","p_e.min","p_e.max","p_observed_e","p_observed_c"
"NKLS",0.00893762285406044,0.00506088351095407,0.0508665524491908,0.019928414506236,0.00512011920186223,0.067933752298715,"0.0378328319138796","0.0273301777871514"
"NKBS",0.0105381727402494,0.00632649397873926,0.0577799620619205,0.0215541893549634,0.00635889755817841,0.0762364340324333,"0.0408266373804332","0.017466785909787"
"Tewkesbury",0.0108483333507344,0.00640991787234451,0.0617966080668769,0.0230560713567581,0.00647532719415117,0.0814909541129355,"0.0736813889721676","0.0548726167410124"
"Upper Kai-Iwi",0.00823784997240399,0.00489156644192409,0.0583555984943248,0.0179448846100838,0.00497754966565663,0.0698797368912148,"0.0468638540470978","0.0261947391850014"
"Tainui",0.0083776600238078,0.00506882680165896,0.0395892108350057,0.0160211105058058,0.00512790055060324,0.0481209471241293,"0.0304933212634298","0.0180719886803458"
"SHCSBSB",0.00907235488696367,0.00571049715223279,0.0417606774686817,0.016332842544032,0.00576344502009523,0.0533208643859974,"0.0144478540503455","0.0114828965929881"
"modern",0.0100407473547477,0.00625929199643839,0.0422613361204245,0.0184331791315967,0.00632551570643423,0.0641008232897236,"",""
