"formation","angle_diff_Glob_max_to_P"
"NKLS",24.003202960475
"NKBS",43.3187314314994
"Tewkesbury",53.569417217734
"Waipuru",14.218090059192
"Upper Kai-Iwi",51.265286102473
"Tainui",49.5573757541194
"SHCSBSB",49.5573757541194
"modern",84.6710686038432
