"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","o.side","mpw.b","cw.m","cw.b","cw.d","c.side","zh.zw","oh.ow"
"684_1421_393_539","x30","001_CC_1_15v_x30_BSE","001CC","NKBS",657.656493229936,0.107321965439559,422.084341994345,336.670062097412,284.76247460069,138.770930967846,433.148671564577,254.173627075072,436.891900815126,268.162064258289,1.50530712975663,0.000254266635271196
"478_1143_463_641","x30","001_CC_2_15v_x30_BSE","001CC","NKBS",794.595151619478,0.0926115952454931,496.962749534777,431.182782424329,324.65724641528,165.839531701665,475.250389613661,307.214461250171,522.987775198847,340.465449829992,1.51933790673666,0.000186355205359335
"707_1472_507_608","x30","001_CC_2_15v_x30_BSE","001CC","NKBS",798.354200848413,0.091871245150064,506.890834000908,432.686357682618,326.26372253199,198.911633073322,475.422249692668,265.512525458341,540.320070639884,348.531900380253,1.47755792210892,0.000181244636887436
"442_388_450_686","x30","001_CC_2_15v_x30_BSE","001CC","NKBS",770.655330539276,0.09960731414496,456.413091945192,392.229333083985,327.685913298847,166.601300778608,460.94281264667,286.578129981418,477.197366074106,311.482307620183,1.61496140869226,0.000218239388621484
"212_771_454_593","x30","001_CC_2_15v_x30_BSE","001CC","NKBS",801.963220833764,0.107927960965958,441.310402694925,350.538709344026,310.2733987379,141.895002156473,367.820264526687,222.870043331383,420.614082588936,351.545819343958,1.9066485265961,0.000244562467385497
"153_1563_465_628","x30","001_CC_2_15v_x30_BSE","001CC","NKBS",789.318966676962,0.0925618948234318,498.475493960172,430.832141222796,343.433581143155,180.261174392207,527.892921339708,368.43421719086,542.733729866412,330.308808729336,1.45433925190396,0.000185689960579742
"300_726_369_586","x30","001i_CC_1_5v_x30_BSE","001iCC","NKBS",658.434452204782,0.126045492147313,345.452498604923,272.632032053642,280.751637494904,146.149107758974,297.926771513796,167.652217916023,315.393117504149,260.006141016862,2.08766271570945,0.000364870691792174
"12_1025_422_684","x30","001i_CC_1_5v_x30_BSE","001iCC","NKBS",871.387132974746,0.104345792895416,437.741846490205,356.439463370316,305.519591392761,217.878030541241,315.393117504149,172.005463227239,386.49105238409,387.551349788214,2.25461140070268,0.000238372898849074
"409_16_431_748","x30","001i_CC_1_5v_x30_BSE","001iCC","NKBS",862.202930779541,0.105025847189689,422.973701382657,360.64695263405,321.846301827827,186.935366147701,436.183908320575,257.304067038454,435.955983584752,381.416017772664,1.97772931957459,0.000248303492265289
"73_285_333_646","x30","001i_CC_1_5v_x30_BSE","001iCC","NKBS",782.240879806086,0.156872812506469,326.290663450174,217.076683423334,314.503824576849,143.649684441058,301.348326284788,171.212075864551,275.755362492878,300.104624689635,2.83672046387236,0.000480776283475925
"642_1067_384_687","x30","001i_CC_1_5v_x30_BSE","001iCC","NKBS",849.22115676828,0.117785270726344,402.004042061637,304.655501454944,293.725240793896,176.575367648785,347.789649527537,206.593806231805,367.201577544733,386.837936349655,2.31268384642173,0.000292995239854541
