"trait.y","trait.x","p-value","slope","r2","df"
NA,NA,NA,NA,NA,NA
"ln.zh","0","0.999999999999999","1","5684","ln.zh"
"ln.mpw.b","6.30029717291465e-47","0.268262781286756","0.0355908849857403","5684","ln.mpw.b"
"ln.cw.m","3.98994554086796e-10","0.126873935813479","0.0066843337844058","5684","ln.cw.m"
"ln.cw.d","1.36665026149958e-50","0.23780798310904","0.0384364929185353","5684","ln.cw.d"
"ln.ow.m","7.89463455228363e-142","0.291874744725952","0.106793597511538","5684","ln.ow.m"
"ln.oh","0.574846735769677","0.00577191048563407","-0.000120563976009791","5684","ln.oh"
"ln.o.side","0","0.698376695059355","0.495887509947028","5684","ln.o.side"
"ln.c.side","0","1.2286564535693","0.784616659593606","5684","ln.c.side"
"ln.zh","6.30029717292062e-47","0.133304090189069","0.0355908849857409","5684","ln.zh"
"ln.mpw.b","0","0.999999999999999","1","5684","ln.mpw.b"
"ln.cw.m","0","0.751721871808912","0.484473228784044","5684","ln.cw.m"
"ln.cw.d","0","0.634358774530942","0.552742506645592","5684","ln.cw.d"
"ln.ow.m","0","0.433016084366556","0.473620794348141","5684","ln.ow.m"
"ln.oh","0","-0.38227073352886","0.488569108862018","5684","ln.oh"
"ln.o.side","5.91793761807381e-41","0.123289847700633","0.0309361675382553","5684","ln.o.side"
"ln.c.side","2.09248224646601e-69","0.225303809489689","0.0529306042736477","5684","ln.c.side"
"ln.zh","3.98994554086833e-10","0.0540620061266611","0.00668433378440569","5684","ln.zh"
"ln.mpw.b","0","0.644605310668775","0.484473228784044","5684","ln.mpw.b"
"ln.cw.m","0","1","1","5684","ln.cw.m"
"ln.cw.d","0","0.737051155792691","0.870285915380449","5684","ln.cw.d"
"ln.ow.m","0","0.421116817964667","0.52240369916903","5684","ln.ow.m"
"ln.oh","0","-0.384399168261434","0.576150383077324","5684","ln.oh"
"ln.o.side","1.25647315901044e-59","0.138216069038642","0.0454230420083965","5684","ln.o.side"
"ln.c.side","1.3238196206418e-27","0.130078753861918","0.0204677397102578","5684","ln.c.side"
"ln.zh","1.36665026149899e-50","0.16233951809525","0.0384364929185353","5684","ln.zh"
"ln.mpw.b","0","0.871464543571831","0.552742506645593","5684","ln.mpw.b"
"ln.cw.m","0","1.18079827355521","0.87028591538045","5684","ln.cw.m"
"ln.cw.d","0","1","1","5684","ln.cw.d"
"ln.ow.m","0","0.639310718494374","0.751608277758155","5684","ln.ow.m"
"ln.oh","0","-0.563719787224975","0.773487468260387","5684","ln.oh"
"ln.o.side","1.21699793114561e-114","0.241797170839781","0.0869329321601944","5684","ln.o.side"
"ln.c.side","1.74665688772448e-66","0.258451891397124","0.0506933450532646","5684","ln.c.side"
"ln.zh","7.89463455230974e-142","0.366426749096237","0.106793597511537","5684","ln.zh"
"ln.mpw.b","0","1.09398565628437","0.473620794348138","5684","ln.mpw.b"
"ln.cw.m","0","1.2407191705088","0.522403699169029","5684","ln.cw.m"
"ln.cw.d","0","1.17572245934446","0.751608277758156","5684","ln.cw.d"
"ln.ow.m","0","0.999999999999995","1","5684","ln.ow.m"
"ln.oh","0","-0.729968937483434","0.705233763555769","5684","ln.oh"
"ln.o.side","1.77329051631619e-259","0.481844539648916","0.187920681656591","5684","ln.o.side"
"ln.c.side","2.93031189649532e-77","0.377770301134666","0.058920183193389","5684","ln.c.side"
"ln.zh","0.57484673576968","0.00959105770516195","-0.000120563976009791","5684","ln.zh"
"ln.mpw.b","0","-1.27830625643109","0.488569108862018","5684","ln.mpw.b"
"ln.cw.m","0","-1.49902753813133","0.576150383077326","5684","ln.cw.m"
"ln.cw.d","0","-1.37218407031841","0.773487468260386","5684","ln.cw.d"
"ln.ow.m","0","-0.966185788410328","0.705233763555768","5684","ln.ow.m"
"ln.oh","0","1","1","5684","ln.oh"
"ln.o.side","0.688014006961977","-0.00680868441107811","-0.000147557352553118","5684","ln.o.side"
"ln.c.side","6.26464261779862e-08","-0.128168541212152","0.00496343807090427","5684","ln.c.side"
"ln.zh","0","0.71018432830953","0.495887509947028","5684","ln.zh"
"ln.mpw.b","5.91793761807849e-41","0.252304856364379","0.0309361675382557","5684","ln.mpw.b"
"ln.cw.m","1.25647315901051e-59","0.329852772110083","0.0454230420083958","5684","ln.cw.m"
"ln.cw.d","1.21699793114456e-114","0.360192560236036","0.0869329321601948","5684","ln.cw.d"
"ln.ow.m","1.77329051632386e-259","0.390299177738744","0.187920681656589","5684","ln.ow.m"
"ln.oh","0.688014006961968","-0.0041667518210289","-0.000147557352553118","5684","ln.oh"
"ln.o.side","0","0.999999999999998","1","5684","ln.o.side"
"ln.c.side","5.88156226077351e-171","0.499937849879157","0.127598703659826","5684","ln.c.side"
"ln.zh","0","0.638628107609543","0.784616659593605","5684","ln.zh"
"ln.mpw.b","2.09248224646882e-69","0.235669318315758","0.0529306042736473","5684","ln.mpw.b"
"ln.cw.m","1.32381962064221e-27","0.158673421190006","0.0204677397102581","5684","ln.cw.m"
"ln.cw.d","1.74665688772433e-66","0.196788381924001","0.0506933450532646","5684","ln.cw.d"
"ln.ow.m","2.93031189649339e-77","0.15640647335898","0.0589201831933892","5684","ln.ow.m"
"ln.oh","6.26464261779855e-08","-0.0400914798693365","0.00496343807090427","5684","ln.oh"
"ln.o.side","5.88156226079127e-171","0.255536083901455","0.127598703659826","5684","ln.o.side"
"ln.c.side","0","1","1","5684","ln.c.side"
