"","c.mean","c.min","c.max","e.mean","e.min","e.max","observed_e_glob","observed_c_glob"
"NKLS","0.00227142992757066","0.00114182136672008","0.0135088949778224","0.00659267104432889","0.00115106454402811","0.0228291530603126","0.0141843259122401","0.0101338958744945"
"NKBS","","","","","","","0.0117044639496917","0.00474810686775905"
"Tewkesbury","","","","","","","0.0229765622839975","0.0134801852776064"
"Upper Kai-Iwi","","","","","","","0.0163841323304734","0.00530279514809864"
"Tainui","","","","","","","0.0133902556852862","0.00520573947737023"
"SHCSBSB","","","","","","","0.00524123994535423","0.00292234621593457"
"modern","","","","","","","",""
