Expedition,SAMPLE_ID,Formation_name,GPS number,GPS lat,GPS long,Date ,Time,Collectors,Code,Total,Encrusted,Rate,Physical Description,Photo ID,Unpacked,Unpacked by,unpacking notes,Small,Large,Too large,NOTE,,,,
WABO I,26,Tainui Shellbed,15,39S 55.078,174E 57.377,12/01/2014,,"SR, LLH, KV",,50,3,0.060,At or close to SR #4. Three of three samples. Poor preservaetion,,,,,,,,,,,,
WABO I,27,Shakespeare Cliff Basal Sand Shellbed,10,39S 55.072,174E 57.386,12/01/2014,,"SR, LLH, KV",,50,35,0.700,Basal Sand. Same spot from which Paul did an interaction sample on 11/01/2014. Fallen block. We can see source above,,28/2/2014,LHL,changed from 39 to 25,,,,,,,,
WABO I,28,Tainui Shellbed,16,39S 54.915,174E 57.129,12/01/2014,,"SR, LLH, KV",,50,12,0.240,"Slity, poor preservation, fallen from section right above, which is a huge exposure.",,,,,,,,,,,,
WABO I,29,Shakespeare Cliff Basal Sand Shellbed,17,39S 54.909,174E 57.177,12/01/2014,,"SR, LLH, KV",,50,16,0.320,Basal Sand. Fallen block about 20 m South of sample 25. Crumbly and poorer than other Shakespeare Cliff Basal Sands seen previously on this trip.,,26/2/2014,LHL,changed from 15 to 16 encrusted,9,7,0,,,,,
WABO I,30,Lower Castlecliff Shellbed,18,39S 54.271,174E 56.225,12/01/2014,,"SR, LLH, KV",,50,34,0.680,About 50 m North of  SR #9 visited on 10/1/2014. Fallen block but source visible. First of two such samples,,,,,,,,,,,,
WABO I,31,Lower Castlecliff Shellbed,18,39S 54.271,174E 56.225,12/01/2014,,"SR, LLH, KV",,50,16,0.320,About 50 m North of  SR #9 visited on 10/1/2014. Fallen block but source visible. Second of two such samples,,,,,,,,,,,,
WABO I,32,Lower Castlecliff Shellbed,18,39S 54.271,174E 56.225,12/01/2014,,"SR, LLH, KV",,50,16,0.320,"About 50 m North of  SR #9 visited on 10/1/2014. In place sample of Smaples 30 and 31, difficult access.",,,,,,,,,,,,
WABO I,33,Nukumaru Limestone,19,39S 51.946,174E 45.603,13/01/2014,,"SR, LLH, KV",,30,27,0.900,Hard,Huge exposure of varying visible vertical expense. Some rock slabs fallen on beach. Mixture of storm beds more more normal looking shell beds. Preservation wise some soft sands and some rock hard layers. Here we picked what we could manage but did a couple of hard ones,,,,,,,,,,,
WABO I,34,Nukumaru Limestone,19,39S 51.946,174E 45.603,13/01/2014,,"SR, LLH, KV",,30,27,0.900,"About 3 m south of Sample 33, softer then 33.",,,,,,,,,,,,
WABO I,35,Nukumaru Limestone,20,39S 51.955,174E 45.625,13/01/2014,,"SR, LLH, KV",,30,20,0.667,GPS 20,,,,,,,,,,,,
WABO I,36,Nukumaru Limestone,20,39S 51.955,174E 45.625,13/01/2014,,"SR, LLH, KV",,30,26,0.867,About 4 m south of Sample 35,,,,,,,,,,,,
WABO I,37,Nukumaru Limestone,21,39S 51.966,174E 45.672,13/01/2014,,"SR, LLH, KV",,30,23,0.767,GPS 21,,17/2/2014,L.H.L.,,16,5,1,,,,,
WABO I,38,Nukumaru Limestone,21,39S 51.966,174E 45.672,13/01/2014,,"SR, LLH, KV",,30,26,0.867,About 8 m South of sample 37,,,,,,,,,,,,
WABO I,39,Nukumaru Limestone,22,39S 51.965,174E 45.704,13/01/2014,,"SR, LLH, KV",,30,25,0.833,GPS 22,,,,,,,,,,,,
WABO I,40,Nukumaru Limestone,22,39S 51.965,174E 45.704,13/01/2014,,"SR, LLH, KV",,30,26,0.867,About 4 m from sample 39,,,,,,,,,,,,
WABO I,41,Nukumaru Limestone,23,39S 51.948,174E 45.800,13/01/2014,,"SR, LLH, KV",,30,22,0.733,GPS 23,,,,,,,,,,,,
WABO I,42,Nukumaru Limestone,23,39S 51.948,174E 45.800,13/01/2014,,"SR, LLH, KV",,30,24,0.800,About 8 m south of Sample 41,,,,,,,,,,,,
WABO I,43,Nukumaru Limestone,24,39S 51.963,174E 45.695,13/01/2014,,"SR, LLH, KV",,30,23,0.767,Abpout 4 m north of Sample 44,,,,,,,,,,,,
WABO I,44,Nukumaru Limestone,24,39S 51.963,174E 45.695,13/01/2014,,"SR, LLH, KV",,30,25,0.833,GPS 24,,,,,,,,,,,,
WABO I,45,Nukumaru Limestone,25,39S 51.963,174E 45.664,13/01/2014,,"SR, LLH, KV",,30,17,0.567,GPS 25,,,,,,,,,,,,
WABO I,46,Nukumaru Limestone,25,39S 51.963,174E 45.664,13/01/2014,,"SR, LLH, KV",,30,20,0.667," 3 m S of GPS 25, very soft sand",,,,,,,,,,,,
WABO I,47,Nukumaru Limestone,26,39S 51.962,174E 45.649,13/01/2014,,"SR, LLH, KV",,30,21,0.700,GPS 26 cemented and sandy,,,,,,,,,,,,
WABO I,48,Nukumaru Limestone,26,39S 51.962,174E 45.649,13/01/2014,,"SR, LLH, KV",,30,23,0.767,3 m South of Sample 47,,,,,,,,,,,,
WABO I,49,Nukumaru Limestone,27,39S 51.950,174E 45.611,13/01/2014,,"SR, LLH, KV",,30,15,0.500,GPS 27,,,,,,,,,,,,
WABO I,50,Nukumaru Limestone,27,39S 51.950,174E 45.611,13/01/2014,,"SR, LLH, KV",,30,21,0.700,8 m S of Sample 49,,,,,,,,,,,,
WABO I,51,Nukumaru Limestone,28,39S 51.954,174E 45.615,13/01/2014,,"SR, LLH, KV",,30,26,0.867,"GPS 28, 6 m south of Sample 50",,,,,,,,,,,,
WABO I,52,Nukumaru Limestone,29,39S 51.946,174E 45.603,13/01/2014,,"SR, LLH, KV",,30,21,0.700,GPS 29,,,,,,,,,,,,
