"fileName","dateImaged","Enterer","collectionType","boxNumber","possibleSpeicesID","surface","formation","specimenNR","pictureNumber","SignalName","Magnification","Comment","Vacc","Mag","fileName.tif","path.tif"
"0000005_CV_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000005_CV",1,"BSE",30,NA,"15.0kV","x30","0000005_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/005_CV_1_15v_x30_BSE.tif"
"0000005_CV_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000005_CV",2,"BSE",30,NA,"15.0kV","x30","0000005_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/005_CV_2_15v_x30_BSE.tif"
"0000006_CC_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000006_CC",1,"BSE",30,NA,"15.0kV","x30","0000006_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/006_CC_1_15v_x30_BSE.tif"
"0000006_CC_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000006_CC",2,"BSE",30,NA,"15.0kV","x30","0000006_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/006_CC_2_15v_x30_BSE.tif"
"0000006_CC_3_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000006_CC",3,"BSE",30,NA,"15.0kV","x30","0000006_CC_3_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/006_CC_3_15v_x30_BSE.tif"
"0000008_CV_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000008_CV",1,"BSE",30,NA,"15.0kV","x30","0000008_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/008_CV_1_15v_x30_BSE.tif"
"0000008_CV_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000008_CV",2,"BSE",30,NA,"15.0kV","x30","0000008_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/008_CV_2_15v_x30_BSE.tif"
"0000009_CC_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000009_CC",1,"BSE",30,NA,"15.0kV","x30","0000009_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/009_CC_1_15v_x30_BSE.tif"
"0000009_CC_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000009_CC",2,"BSE",30,NA,"15.0kV","x30","0000009_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/009_CC_2_15v_x30_BSE.tif"
"0000010_FL_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000010_FL",1,"BSE",30,NA,"15.0kV","x30","0000010_FL_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/010_F_1_15v_x30_BSE.tif"
