folder;subfolder;sub.subfolder;image;ext;fileName;specimenNR
Sara2;NKBS;NONE;042i_CV_3_15v_x30;tif;042i_CV_3_15v_x30.tif;042iCV
Sara2;NKBS;NONE;042i_CV_3_15v_x30;txt;042i_CV_3_15v_x30.txt;042iCV
Sara2;NKBS;NONE;043i_CC_1_15v_x30;tif;043i_CC_1_15v_x30.tif;043iCC
Sara2;NKBS;NONE;043i_CC_1_15v_x30;txt;043i_CC_1_15v_x30.txt;043iCC
Sara2;NKBS;NONE;043i_CC_2_15v_x30;tif;043i_CC_2_15v_x30.tif;043iCC
Sara2;NKBS;NONE;043i_CC_2_15v_x30;txt;043i_CC_2_15v_x30.txt;043iCC
Sara2;NKBS;NONE;044i_CC_1_15v_x30;tif;044i_CC_1_15v_x30.tif;044iCC
Sara2;NKBS;NONE;044i_CC_1_15v_x30;txt;044i_CC_1_15v_x30.txt;044iCC
Sara2;NKBS;NONE;044i_CC_2_15v_x30;tif;044i_CC_2_15v_x30.tif;044iCC
Sara2;NKBS;NONE;044i_CC_2_15v_x30;txt;044i_CC_2_15v_x30.txt;044iCC
Sara2;NKBS;NONE;045i_CV_1_15v_x30;tif;045i_CV_1_15v_x30.tif;045iCV
Sara2;NKBS;NONE;045i_CV_1_15v_x30;txt;045i_CV_1_15v_x30.txt;045iCV
Sara2;NKBS;NONE;046i_CV_1_15v_x30;tif;046i_CV_1_15v_x30.tif;046iCV
Sara2;NKBS;NONE;046i_CV_1_15v_x30;txt;046i_CV_1_15v_x30.txt;046iCV
Sara2;NKBS;NONE;046i_CV_2_15v_x30;tif;046i_CV_2_15v_x30.tif;046iCV
Sara2;NKBS;NONE;046i_CV_2_15v_x30;txt;046i_CV_2_15v_x30.txt;046iCV
Sara2;NKBS;NONE;047i_CV_1_15v_x30;tif;047i_CV_1_15v_x30.tif;047iCV
Sara2;NKBS;NONE;047i_CV_1_15v_x30;txt;047i_CV_1_15v_x30.txt;047iCV
Sara2;NKBS;NONE;048i_CC_1_15v_x30;tif;048i_CC_1_15v_x30.tif;048iCC
Sara2;NKBS;NONE;048i_CC_1_15v_x30;txt;048i_CC_1_15v_x30.txt;048iCC
Sara2;NKBS;NONE;048i_CC_2_15v_x30;tif;048i_CC_2_15v_x30.tif;048iCC
Sara2;NKBS;NONE;048i_CC_2_15v_x30;txt;048i_CC_2_15v_x30.txt;048iCC
Sara2;NKBS;NONE;048i_CV_1_15v_x30;tif;048i_CV_1_15v_x30.tif;048iCV
Sara2;NKBS;NONE;048i_CV_1_15v_x30;txt;048i_CV_1_15v_x30.txt;048iCV
Sara2;NKBS;NONE;049i_CV_1_15v_x30;tif;049i_CV_1_15v_x30.tif;049iCV
Sara2;NKBS;NONE;049i_CV_1_15v_x30;txt;049i_CV_1_15v_x30.txt;049iCV
Sara2;NKBS;NONE;050i_CV_1_15v_x30;tif;050i_CV_1_15v_x30.tif;050iCV
Sara2;NKBS;NONE;050i_CV_1_15v_x30;txt;050i_CV_1_15v_x30.txt;050iCV
Sara2;NKBS;NONE;050i_CV_2_15v_x30;tif;050i_CV_2_15v_x30.tif;050iCV
Sara2;NKBS;NONE;050i_CV_2_15v_x30;txt;050i_CV_2_15v_x30.txt;050iCV
Sara2;NKBS;NONE;051i_CV_1_15v_x30;tif;051i_CV_1_15v_x30.tif;051iCV
Sara2;NKBS;NONE;051i_CV_1_15v_x30;txt;051i_CV_1_15v_x30.txt;051iCV
Sara2;NKBS;NONE;051i_CV_2_15v_x30;tif;051i_CV_2_15v_x30.tif;051iCV
Sara2;NKBS;NONE;051i_CV_2_15v_x30;txt;051i_CV_2_15v_x30.txt;051iCV
Sara2;NKBS;NONE;052i_CC_1_15v_x30;tif;052i_CC_1_15v_x30.tif;052iCC
Sara2;NKBS;NONE;052i_CC_1_15v_x30;txt;052i_CC_1_15v_x30.txt;052iCC
Sara2;NKBS;NONE;053i_CC_1_15v_x30;tif;053i_CC_1_15v_x30.tif;053iCC
Sara2;NKBS;NONE;053i_CC_1_15v_x30;txt;053i_CC_1_15v_x30.txt;053iCC
Sara2;NKBS;NONE;053i_CV_1_15v_x30;tif;053i_CV_1_15v_x30.tif;053iCV
Sara2;NKBS;NONE;053i_CV_1_15v_x30;txt;053i_CV_1_15v_x30.txt;053iCV
Sara2;NKBS;NONE;053i_CV_2_15v_x30;tif;053i_CV_2_15v_x30.tif;053iCV
Sara2;NKBS;NONE;053i_CV_2_15v_x30;txt;053i_CV_2_15v_x30.txt;053iCV
Sara2;NKBS;NONE;054i_CV_1_15v_x30;tif;054i_CV_1_15v_x30.tif;054iCV
Sara2;NKBS;NONE;054i_CV_1_15v_x30;txt;054i_CV_1_15v_x30.txt;054iCV
Sara2;NKBS;NONE;055i_CC_1_15v_x30;tif;055i_CC_1_15v_x30.tif;055iCC
Sara2;NKBS;NONE;055i_CC_1_15v_x30;txt;055i_CC_1_15v_x30.txt;055iCC
Sara2;NKBS;NONE;055i_CC_2_15v_x30;tif;055i_CC_2_15v_x30.tif;055iCC
Sara2;NKBS;NONE;055i_CC_2_15v_x30;txt;055i_CC_2_15v_x30.txt;055iCC
Sara2;NKBS;NONE;055i_CV_1_15v_x30;tif;055i_CV_1_15v_x30.tif;055iCV
Sara2;NKBS;NONE;055i_CV_1_15v_x30;txt;055i_CV_1_15v_x30.txt;055iCV
Sara2;NKBS;NONE;055i_CV_2_15v_x30;tif;055i_CV_2_15v_x30.tif;055iCV
Sara2;NKBS;NONE;055i_CV_2_15v_x30;txt;055i_CV_2_15v_x30.txt;055iCV
Sara2;NKBS;NONE;056i_CV_1_15v_x30;tif;056i_CV_1_15v_x30.tif;056iCV
Sara2;NKBS;NONE;056i_CV_1_15v_x30;txt;056i_CV_1_15v_x30.txt;056iCV
Sara2;NKBS;NONE;057i_CV_1_15v_x30;tif;057i_CV_1_15v_x30.tif;057iCV
Sara2;NKBS;NONE;057i_CV_1_15v_x30;txt;057i_CV_1_15v_x30.txt;057iCV
Sara2;NKBS;NONE;057i_CV_2_15v_x30;tif;057i_CV_2_15v_x30.tif;057iCV
Sara2;NKBS;NONE;057i_CV_2_15v_x30;txt;057i_CV_2_15v_x30.txt;057iCV
Sara2;NKBS;NONE;058i_CV_1_15v_x30;tif;058i_CV_1_15v_x30.tif;058iCV
Sara2;NKBS;NONE;058i_CV_1_15v_x30;txt;058i_CV_1_15v_x30.txt;058iCV
Sara2;NKBS;NONE;058i_CV_2_15v_x30;tif;058i_CV_2_15v_x30.tif;058iCV
Sara2;NKBS;NONE;058i_CV_2_15v_x30;txt;058i_CV_2_15v_x30.txt;058iCV
Sara2;NKBS;NONE;059i_CC_1_15v_x30;tif;059i_CC_1_15v_x30.tif;059iCC
Sara2;NKBS;NONE;059i_CC_1_15v_x30;txt;059i_CC_1_15v_x30.txt;059iCC
Sara2;NKBS;NONE;059i_CV_1_15v_x30;tif;059i_CV_1_15v_x30.tif;059iCV
Sara2;NKBS;NONE;059i_CV_1_15v_x30;txt;059i_CV_1_15v_x30.txt;059iCV
Sara2;NKLS;NONE;530_CV_1_15V_x30_BSE;tif;530_CV_1_15V_x30_BSE.tif;530CV
Sara2;NKLS;NONE;530_CV_1_15V_x30_BSE;txt;530_CV_1_15V_x30_BSE.txt;530CV
Sara2;NKLS;NONE;530_CV_2_15V_x30_BSE;tif;530_CV_2_15V_x30_BSE.tif;530CV
Sara2;NKLS;NONE;530_CV_2_15V_x30_BSE;txt;530_CV_2_15V_x30_BSE.txt;530CV
Sara2;NKLS;NONE;531_CV_1_15V_x30_BSE;tif;531_CV_1_15V_x30_BSE.tif;531CV
Sara2;NKLS;NONE;531_CV_1_15V_x30_BSE;txt;531_CV_1_15V_x30_BSE.txt;531CV
Sara2;NKLS;NONE;531_CV_2_15V_x30_BSE;tif;531_CV_2_15V_x30_BSE.tif;531CV
Sara2;NKLS;NONE;531_CV_2_15V_x30_BSE;txt;531_CV_2_15V_x30_BSE.txt;531CV
Sara2;NKLS;NONE;532_CC_1_15V_x30_BSE;tif;532_CC_1_15V_x30_BSE.tif;532CC
Sara2;NKLS;NONE;532_CC_1_15V_x30_BSE;txt;532_CC_1_15V_x30_BSE.txt;532CC
Sara2;NKLS;NONE;532_CC_2_15V_x30_BSE;tif;532_CC_2_15V_x30_BSE.tif;532CC
Sara2;NKLS;NONE;532_CC_2_15V_x30_BSE;txt;532_CC_2_15V_x30_BSE.txt;532CC
Sara2;NKLS;NONE;533_CC_1_15V_x30_BSE;tif;533_CC_1_15V_x30_BSE.tif;533CC
Sara2;NKLS;NONE;533_CC_1_15V_x30_BSE;txt;533_CC_1_15V_x30_BSE.txt;533CC
Sara2;NKLS;NONE;533_CC_2_15V_x30_BSE;tif;533_CC_2_15V_x30_BSE.tif;533CC
Sara2;NKLS;NONE;533_CC_2_15V_x30_BSE;txt;533_CC_2_15V_x30_BSE.txt;533CC
Sara2;NKLS;NONE;534_CV_1_15V_x30_BSE;tif;534_CV_1_15V_x30_BSE.tif;534CV
Sara2;NKLS;NONE;534_CV_1_15V_x30_BSE;txt;534_CV_1_15V_x30_BSE.txt;534CV
Sara2;NKLS;NONE;534_CV_2_15V_x30_BSE;tif;534_CV_2_15V_x30_BSE.tif;534CV
Sara2;NKLS;NONE;534_CV_2_15V_x30_BSE;txt;534_CV_2_15V_x30_BSE.txt;534CV
Sara2;NKLS;NONE;535_CV_1_15V_x30_BSE;tif;535_CV_1_15V_x30_BSE.tif;535CV
Sara2;NKLS;NONE;535_CV_1_15V_x30_BSE;txt;535_CV_1_15V_x30_BSE.txt;535CV
Sara2;NKLS;NONE;535_CV_2_15V_x30_BSE;tif;535_CV_2_15V_x30_BSE.tif;535CV
Sara2;NKLS;NONE;535_CV_2_15V_x30_BSE;txt;535_CV_2_15V_x30_BSE.txt;535CV
Sara2;NKLS;NONE;536_CV_1_15V_x30_BSE;tif;536_CV_1_15V_x30_BSE.tif;536CV
Sara2;NKLS;NONE;536_CV_1_15V_x30_BSE;txt;536_CV_1_15V_x30_BSE.txt;536CV
Sara2;NKLS;NONE;536_CV_2_15V_x30_BSE;tif;536_CV_2_15V_x30_BSE.tif;536CV
Sara2;NKLS;NONE;536_CV_2_15V_x30_BSE;txt;536_CV_2_15V_x30_BSE.txt;536CV
Sara2;NKLS;NONE;537_CV_1_15V_x30_BSE;tif;537_CV_1_15V_x30_BSE.tif;537CV
Sara2;NKLS;NONE;537_CV_1_15V_x30_BSE;txt;537_CV_1_15V_x30_BSE.txt;537CV
Sara2;NKLS;NONE;537_CV_2_15V_x30_BSE;tif;537_CV_2_15V_x30_BSE.tif;537CV
