"fileName","path.x","folder","formation","image.x","ext","specimenNR.x","number.x","colonyCurve.x","pictureNumber.x","AV.x","magnification.x","backscatter.x","newFormation","path.y","InstructName","SemVersion","SDMVersion","SerialNumber","DataNumber","SampleName","Format","Directory","Date","Time","Media","DataSize","PixelSize","SignalName","DisplaySignalName","SEDetSetting","AcceleratingVoltage","DecelerationVoltage","DecelerationMode","Magnification","WorkingDistance","EmissionCurrent","PhotoSize","MagnificationDisplay","Vacuum","MicronMarker","SubMagnification","SubSignalName","SpecimenBias","Condencer1","ScanSpeed","CaptureSpeed_Integration","CalibrationScanSpeed","ImgEnhance","ColorMode","ColorPalette","ScreenMode","Comment","KeyWord1","KeyWord2","Condition","DataDisplayCombine","StageType","StagePositionX","StagePositionY","StagePositionR","StagePositionZ","StagePositionT","FocusDepth","DynamicFocus","TiltCompensation","ImageShiftX","ImageShiftY","RasterRotation","MagneticSample","UserName","Vacc","Mag","WD","LensMode","fileName.y","image.y","specimenNR.y","number.y","colonyCurve.y","pictureNumber.y","AV.y","magnification.y","backscatter.y"
"365_F_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/365_F_2_15v_x30_BSE.tif","Stegs","NONE","365_F_2_15v_x30_BSE","tif","365F",365+0i,"F",2,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/365_F_2_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/25/2018","12:06:05","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"7583.48 um","53000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x30 WD 7.6mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,-25.4,NA,"***","15.0kV","x30","7.6mm",3,"365_F_2_15v_x30_BSE.txt","365_F_2_15v_x30_BSE","365F",365+0i,"F",2,"15v","x30","BSE"
"366_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/366_CV_1_15v_x30_BSE.tif","Stegs","NONE","366_CV_1_15v_x30_BSE","tif","366CV",366+0i,"CV",1,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/366_CV_1_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/25/2018","14:50:15","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"6963.85 um","51000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x30 WD 7.0mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,26.4,NA,"***","15.0kV","x30","7.0mm",3,"366_CV_1_15v_x30_BSE.txt","366_CV_1_15v_x30_BSE","366CV",366+0i,"CV",1,"15v","x30","BSE"
"366_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/366_CV_2_15v_x30_BSE.tif","Stegs","NONE","366_CV_2_15v_x30_BSE","tif","366CV",366+0i,"CV",2,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/366_CV_2_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/25/2018","14:55:15","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"6874.18 um","51000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x30 WD 6.9mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,-56.3,NA,"***","15.0kV","x30","6.9mm",3,"366_CV_2_15v_x30_BSE.txt","366_CV_2_15v_x30_BSE","366CV",366+0i,"CV",2,"15v","x30","BSE"
"368_F_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/368_F_1_15v_x30_BSE.tif","Stegs","NONE","368_F_1_15v_x30_BSE","tif","368F",368+0i,"F",1,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/368_F_1_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/26/2018","14:11:49","HD[Windows]","2560x1920",1417.411,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,35,"5916.07 um","53000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x35 WD 5.9mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,-24.6,NA,"***","15.0kV","x35","5.9mm",3,"368_F_1_15v_x30_BSE.txt","368_F_1_15v_x30_BSE","368F",368+0i,"F",1,"15v","x30","BSE"
"368_F_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/368_F_2_15v_x30_BSE.tif","Stegs","NONE","368_F_2_15v_x30_BSE","tif","368F",368+0i,"F",2,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/368_F_2_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/26/2018","14:14:29","HD[Windows]","2560x1920",1417.411,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,35,"5621.47 um","52000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x35 WD 5.6mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,0.7,NA,"***","15.0kV","x35","5.6mm",3,"368_F_2_15v_x30_BSE.txt","368_F_2_15v_x30_BSE","368F",368+0i,"F",2,"15v","x30","BSE"
"369_F_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/369_F_1_15v_x30_BSE.tif","Stegs","NONE","369_F_1_15v_x30_BSE","tif","369F",369+0i,"F",1,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/369_F_1_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/25/2018","10:35:36","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"9392.53 um","52000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x30 WD 9.4mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,10.5,NA,"***","15.0kV","x30","9.4mm",3,"369_F_1_15v_x30_BSE.txt","369_F_1_15v_x30_BSE","369F",369+0i,"F",1,"15v","x30","BSE"
"370_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/370_CV_1_15v_x30_BSE.tif","Stegs","NONE","370_CV_1_15v_x30_BSE","tif","370CV",370+0i,"CV",1,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/370_CV_1_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/25/2018","15:59:05","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"6841.78 um","53000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x30 WD 6.8mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,-57.7,NA,"***","15.0kV","x30","6.8mm",3,"370_CV_1_15v_x30_BSE.txt","370_CV_1_15v_x30_BSE","370CV",370+0i,"CV",1,"15v","x30","BSE"
"370_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/370_CV_2_15v_x30_BSE.tif","Stegs","NONE","370_CV_2_15v_x30_BSE","tif","370CV",370+0i,"CV",2,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/370_CV_2_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/25/2018","16:01:35","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"6554.28 um","52000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x30 WD 6.6mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,35.4,NA,"***","15.0kV","x30","6.6mm",3,"370_CV_2_15v_x30_BSE.txt","370_CV_2_15v_x30_BSE","370CV",370+0i,"CV",2,"15v","x30","BSE"
"371_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/371_CC_1_15v_x30_BSE.tif","Stegs","NONE","371_CC_1_15v_x30_BSE","tif","371CC",371+0i,"CC",1,"15v","x30","BSE","NKBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/371_CC_2_15v_x30_BSE.tif","Stegs","NONE","371_CC_2_15v_x30_BSE","tif","371CC",371+0i,"CC",2,"15v","x30","BSE","NKBS","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/371_CC_2_15v_x30_BSE.txt","TM4000","01-Feb",NA,"177008-10","TM4000 0001",NA,"tif","C:\Stegs\Mali SEM\","01/26/2018","15:08:39","HD[Windows]","2560x1920",1653.646,"BSE","BSE",NA,"15000 Volt","0 Volt",NA,30,"6651.41 um","52000 nA",1000,0,30,1000000,0,NA,"0 V",9230,"Capture_Slow(80)",NA,24,0,"Grayscale",NA,"Full Screen",NA,NA,NA,"Vacc 15.0kV Mag x30 WD 6.7mm LensMode 3",1,0,17500000,17500000,0,0,0,NA,0,0,NA,NA,-29.1,NA,"***","15.0kV","x30","6.7mm",3,"371_CC_2_15v_x30_BSE.txt","371_CC_2_15v_x30_BSE","371CC",371+0i,"CC",2,"15v","x30","BSE"
