date;specimen nr.;nr of pics;AV;magnification;formation;Comments
06/08/2018;613iCC;2;15v;x30;TEWKESBURY;
06/08/2018;614iCV;2;15v;x30;TEWKESBURY;
06/08/2018;615iCV;2;15v;x30;TEWKESBURY;
06/08/2018;616iCC;2;15v;x30;TEWKESBURY;
06/08/2018;617iCV;2;15v;x30;TEWKESBURY;
06/08/2018;618iCV;2;15v;x30;TEWKESBURY;
13/08/2018;619iCV;2;15v;x30;TEWKESBURY;
13/08/2018;620iCC;2;15v;x30;TEWKESBURY;
13/08/2018;621iCV;2;15v;x30;TEWKESBURY;
13/08/2018;622iCC;2;15v;x30;TEWKESBURY;
13/08/2018;623iCC;2;15v;x30;TEWKESBURY;
13/08/2018;624iCC;2;15v;x30;TEWKESBURY;
13/08/2018;625iCV;2;15v;x35;TEWKESBURY;
13/08/2018;626iCC;2;15v;x30;TEWKESBURY;
13/08/2018;627iCC;3;15v;x30;TEWKESBURY;
13/08/2018;628iCV;2;15v;x30;TEWKESBURY;
13/08/2018;650CV;2;15v;x30;TEWKESBURY;
13/08/2018;629iCV;2;15v;x35;TEWKESBURY;
13/08/2018;630iCV;2;15v;x30;TEWKESBURY;
13/08/2018;631iCV;2;15v;x30;TEWKESBURY;
13/08/2018;632iCV;2;15v;x30;TEWKESBURY;
13/08/2018;633iCV;2;15v;x30;TEWKESBURY;
13/08/2018;634iCV;2;15v;x30;TEWKESBURY;
13/08/2018;635iCV;2;15v;x30;TEWKESBURY;
13/08/2018;636iCV;2;15v;x30;TEWKESBURY;
13/08/2018;637iCV;2;15v;x30;TEWKESBURY;
13/08/2018;638iCC;2;15v;x30;TEWKESBURY;
13/08/2018;639iCV;2;15v;x30;TEWKESBURY;
13/08/2018;640iCV;2;15v;x30;TEWKESBURY;
13/08/2018;641iCV;2;15v;x30;TEWKESBURY;
13/08/2018;642iCV;2;15v;x30;TEWKESBURY;
16/08/2018;643iCV;2;15v;x30;TEWKESBURY;
16/08/2018;644iCV;2;15v;x30;TEWKESBURY;
16/08/2018;645iCV;2;15v;x30;TEWKESBURY;
16/08/2018;646iCC;2;15v;x30;TEWKESBURY;
16/08/2018;647iCV;2;15v;x30;TEWKESBURY;
16/08/2018;648iCV;2;15v;x30;TEWKESBURY;
16/08/2018;649iCV;3;15v;x30;TEWKESBURY;
16/08/2018;650iCV;2;15v;x30;TEWKESBURY;
16/08/2018;651iCC;2;15v;x30;TEWKESBURY;
16/08/2018;652iCV;2;15v;x30;TEWKESBURY;
16/08/2018;653iCV;2;15v;X30;TEWKESBURY;
16/08/2018;654iCV;2;15v;X30;TEWKESBURY;
16/08/2018;655iCV;3;15v;X30;TEWKESBURY;
16/08/2018;486CC;2;15v;x30;NKLS;
16/08/2018;487CC;2;15v;x30;NKLS;
16/08/2018;488CC;2;15v;x30;NKLS;
16/08/2018;489CC;2;15v;x30;NKLS;
16/08/2018;490CV;2;15v;x30 (1) & x35 (2);NKLS;
16/08/2018;436CV;2;15v;x30;NKLS;
16/08/2018;491CV;2;15v;x30;NKLS;
16/08/2018;492CC;2;15v;x30;NKLS;
16/08/2018;493CV;2;15v;x30;NKLS;
16/08/2018;494CC;2;15v;x30;NKLS;
20/08/2018;495CC;2;15v;x30;NKLS;
20/08/2018;496CC;2;15v;x30;NKLS;
20/08/2018;497CC;2;15v;x30;NKLS;
20/08/2018;498CC;2;15v;x30;NKLS;
20/08/2018;499CV;2;15v;x30;NKLS;
20/08/2018;500CV;2;15v;x30;NKLS;
20/08/2018;501CV;2;15v;x30;NKLS;
20/08/2018;1015F;2;15v;x30;UPPER KAI-IWI SB;
20/08/2018;762CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;763CC;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;764CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;765CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;766CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;767CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;768CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;769CV;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;770CV;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;771CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;772CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;773CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;774CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
20/08/2018;775CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
24/08/2018;502CV;2;15v;x30;NKLS;
24/08/2018;503CC;2;15v;x30;NKLS;
24/08/2018;776CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
24/08/2018;777CV;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;778CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;779CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;780CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;781CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;782CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;783CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;784CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;785CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;1200CC;2;15v;x30;PUNNEKI LIMESTONE;
30/08/2018;424CC;2;15v;x30;NKLS;
30/08/2018;786CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;787CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;754CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
30/08/2018;788CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/09/2018;789CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/09/2018;790CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/09/2018;791CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/09/2018;833CV;2;15v;x30;TAINUI SB;
03/09/2018;834F;2;15v;x30;TAINUI SB;
03/09/2018;835F;2;15v;x30;TAINUI SB;
03/09/2018;836CC;2;15v;x30;TAINUI SB;
03/09/2018;504CC;2;15v;x30;NKLS;
03/09/2018;505CV;2;15v;x30;NKLS;
03/09/2018;473CC;2;15v;x30;NKLS;
03/09/2018;506CC;3;15v;x30;NKLS;
03/09/2018;507CC;2;15v;x30;NKLS;
03/09/2018;508CV;2;15v;x30;NKLS;
03/09/2018;509CC;3;15v;x30;NKLS;
03/09/2018;510CV;2;15v;x35 (1) & x30 (2);NKLS;
03/09/2018;511CV;3;15v;x30 (1), x35 (2) & x30 (3);NKLS;
03/09/2018;512CV;2;15v;x30;NKLS;
03/09/2018;513CC;2;15v;x30;NKLS;
03/09/2018;514CV;2;15v;x30;NKLS;
03/09/2018;515CV;2;15v;x30;NKLS;
03/09/2018;516CV;2;15v;x30;NKLS;
03/09/2018;517CV;2;15v;x30;NKLS;
03/09/2018;518CV;2;15v;x30;NKLS;
05/09/2018;519CC;2;15v;x35;NKLS;
05/09/2018;520CV;2;15v;x30;NKLS;
05/09/2018;521CV;2;15v;x30;NKLS;
05/09/2018;522CC;2;15v;x30;NKLS;
05/09/2018;523CV;2;15v;x30;NKLS;
05/09/2018;524CC;2;15v;x30;NKLS;
05/09/2018;525CV;2;15v;x30;NKLS;
05/09/2018;526CV;2;15v;x30;NKLS;
05/09/2018;1113CV;2;15v;x30;WAIPURU SB;
05/09/2018;1114CV;4;15v;x30;WAIPURU SB;
05/09/2018;1115CC;2;15v;x30;WAIPURU SB;
10/10/2018;792CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/10/2018;793CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/10/2018;794CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/10/2018;795CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/10/2018;796CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/10/2018;002iCV;2;15v;x30;NKBS;
10/10/2018;003iCV;2;15v;x30;NKBS;
24/10/2018;004iCV;2;15v;x30;NKBS;
24/10/2018;005iF;2;15v;x35 (1) & x30 (2);NKBS;
24/10/2018;006iCV;2;15v;x30;NKBS;
24/10/2018;007iCV;2;15v;x30;NKBS;
24/10/2018;008iCV;2;15v;x30;NKBS;
24/10/2018;009iCV;2;15v;x30;NKBS;
24/10/2018;010iCV;2;15v;x30;NKBS;
24/10/2018;011iCC;2;15v;x30;NKBS;
24/10/2018;012iCC;2;15v;x30;NKBS;
24/10/2018;013iCV;2;15v;x30;NKBS;
24/10/2018;014iCV;2;15v;x30;NKBS;
24/10/2018;015iCV;2;15v;x30;NKBS;
24/10/2018;016iCV;2;15v;x30;NKBS;
24/10/2018;017iCV;3;15v;x30;NKBS;
24/10/2018;018iCV;2;15v;x30;NKBS;
24/10/2018;019iCV;2;15v;x30;NKBS;
24/10/2018;020iCC;2;15v;x30;NKBS;
24/10/2018;530CC;2;15v;x30;NKLS;
24/10/2018;022iCV;2;15v;x30;NKBS;
24/10/2018;023iCV;2;15v;x30 (1) & x35 (2);NKBS;
01/11/2018;024iCV;2;15v;x30;NKBS;
01/11/2018;531CV;2;15v;x30;NKLS;
01/11/2018;026iCC;2;15v;x30;NKBS;
01/11/2018;027iCC;2;15v;x30;NKBS;
01/11/2018;028iCV;2;15v;x30;NKBS;
01/11/2018;029iCV;2;15v;x30;NKBS;
01/11/2018;030iCV;2;15v;x30;NKBS;
01/11/2018;031iCC;2;15v;x30;NKBS;
01/11/2018;032iCV;2;15v;x30;NKBS;
01/11/2018;033iCV;2;15v;x30;NKBS;
01/11/2018;034iCV;2;15v;x30;NKBS;
01/11/2018;035iCC;2;15v;x30;NKBS;
01/11/2018;036iCV;2;15v;x30;NKBS;
01/11/2018;527CV;2;15v;x30;NKLS;
01/11/2018;528CV;2;15v;x30;NKLS;
01/11/2018;529CV;2;15v;x30;NKLS;
02/11/2018;0367iCV;2;15v;x30;NKBS;
02/11/2018;797CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
02/11/2018;798CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
02/11/2018;799CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
02/11/2018;1016CV;2;15v;x30;UPPER KAI-IWI SB;
02/11/2018;1017CV;2;15v;x30;UPPER KAI-IWI SB;
02/11/2018;1018CV;2;15v;x30;UPPER KAI-IWI SB;
02/11/2018;1019F;2;15v;x30;UPPER KAI-IWI SB;
02/11/2018;700iCV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
02/11/2018;656iCC;1;15v;x30;TEWKESBURY;
02/11/2018;657iCC;2;15v;x30;TEWKESBURY;
