date;specimen nr.;nr of pics;AV;magnification;formation;Comments
13/02/2018;428CC;2;10v;x30;NKLS;
13/02/2018;600CV;2;10v;x30;TEWKESBURY;
13/02/2018;602CV;2;10v;x30;TEWKESBURY;
13/02/2018;604CC;2;10v;x30;TEWKESBURY;
13/02/2018;605CV;2;10v;x30;TEWKESBURY;
13/02/2018;606CC;2;10v;x30;TEWKESBURY;
13/02/2018;607CV;2;10v;x30;TEWKESBURY;
13/02/2018;608CV;3;10v;x30;TEWKESBURY;
13/02/2018;609CV;2;10v;x30;TEWKESBURY;
13/02/2018;610CV;2;10v;x30;TEWKESBURY;
16/02/2018;612CV;2;10v;x30;TEWKESBURY;
16/02/2018;701CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
16/02/2018;702CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
16/02/2018;704CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
16/02/2018;705CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
16/02/2018;706CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
16/02/2018;707CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
16/02/2018;709CC;3;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
16/02/2018;710CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
16/02/2018;711CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
16/02/2018;715CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
16/02/2018;800F;2;10v;x30;TAINUI SB;
16/02/2018;801CC;2;10v;x30;TAINUI SB;
19/02/2018;802CV;3;10v;x30;TAINUI SB;
19/02/2018;803CV;2;10v;x30;TAINUI SB;
19/02/2018;804F;2;10v;x30;TAINUI SB;
19/02/2018;805CV;2;10v;x30;TAINUI SB;
19/02/2018;806CV;2;10v;x30;TAINUI SB;
19/02/2018;808CC;2;10v;x30;TAINUI SB;
19/02/2018;809F;2;10v;x30;TAINUI SB;
19/02/2018;811F;3;10v;x30;TAINUI SB;
19/02/2018;429CC;2;10v;x30;NKLS;
19/02/2018;430F;3;10v;x30;NKLS;
19/02/2018;431CC;2;10v;x30;NKLS;
19/02/2018;433CC;3;10v;x30;NKLS;
19/02/2018;435CC;2;10v;x30;NKLS;
20/02/2018;614CC;2;10v;x30;TEWKESBURY;
20/02/2018;615CV;3;10v;x30;TEWKESBURY;
